chargesheet_id,fir_id,case_id,suspect_id,filing_date
CHG00001,FIR00001,CAS00001,PER00003,2024-04-07
CHG00002,FIR00002,CAS00002,PER00004,2021-01-28
CHG00003,FIR00003,CAS00003,PER00005,2024-05-25
CHG00004,FIR00004,CAS00004,PER00006,2022-02-10
CHG00005,FIR00005,CAS00005,PER00007,2016-11-09
CHG00006,FIR00006,CAS00006,PER00008,2020-06-10
CHG00007,FIR00007,CAS00007,PER00009,2017-05-01
CHG00008,FIR00008,CAS00008,PER00010,2023-02-01
CHG00009,FIR00009,CAS00009,PER00011,2020-10-13
CHG00010,FIR00010,CAS00010,PER00012,2021-03-03
CHG00011,FIR00011,CAS00011,PER00013,2025-12-27
CHG00012,FIR00012,CAS00012,PER00014,2020-07-15
CHG00013,FIR00013,CAS00013,PER00015,2021-01-15
CHG00014,FIR00014,CAS00014,PER00016,2017-12-04
CHG00015,FIR00015,CAS00015,PER00017,2019-03-15
CHG00016,FIR00016,CAS00016,PER00018,2019-06-08
CHG00017,FIR00017,CAS00017,PER00019,2021-07-02
CHG00018,FIR00018,CAS00018,PER00020,2021-11-13
CHG00019,FIR00019,CAS00019,PER00021,2023-08-15
CHG00020,FIR00020,CAS00020,PER00022,2017-04-04
CHG00021,FIR00021,CAS00021,PER00023,2018-02-06
CHG00022,FIR00022,CAS00022,PER00024,2018-09-11
CHG00023,FIR00023,CAS00023,PER00025,2024-09-07
CHG00024,FIR00024,CAS00024,PER00026,2021-04-18
CHG00025,FIR00025,CAS00025,PER00027,2023-02-17
CHG00026,FIR00026,CAS00026,PER00028,2023-04-06
CHG00027,FIR00027,CAS00027,PER00029,2021-04-16
CHG00028,FIR00028,CAS00028,PER00030,2023-08-28
CHG00029,FIR00029,CAS00029,PER00031,2025-07-26
CHG00030,FIR00030,CAS00030,PER00032,2024-07-28
